,Value
YYYY-18-DD 17:18:SS,248.9117126
YYYY-20-DD 17:20:SS,250.8608704
YYYY-22-DD 17:22:SS,252.5016785
YYYY-24-DD 17:24:SS,251.4841003
YYYY-26-DD 17:26:SS,254.0135803
YYYY-28-DD 17:28:SS,251.2371674
YYYY-30-DD 17:30:SS,255.0441742
YYYY-32-DD 17:32:SS,253.0970917
YYYY-34-DD 17:34:SS,250.9547272
YYYY-36-DD 17:36:SS,255.6233978
YYYY-38-DD 17:38:SS,251.4801178
YYYY-40-DD 17:40:SS,261.5189209
YYYY-42-DD 17:42:SS,258.0899658
YYYY-44-DD 17:44:SS,254.4125519
YYYY-46-DD 17:46:SS,257.7360229
YYYY-48-DD 17:48:SS,255.2456512
YYYY-50-DD 17:50:SS,249.7345276
YYYY-52-DD 17:52:SS,251.1953735
YYYY-54-DD 17:54:SS,253.0054779
YYYY-56-DD 17:56:SS,253.7266693
YYYY-58-DD 17:58:SS,257.021698
YYYY-00-DD 18:00:SS,250.4143829
YYYY-02-DD 18:02:SS,254.561203
YYYY-04-DD 18:04:SS,249.0633392
YYYY-06-DD 18:06:SS,258.6699219
YYYY-08-DD 18:08:SS,257.56604
YYYY-10-DD 18:10:SS,255.7141266
YYYY-12-DD 18:12:SS,261.3662415
YYYY-14-DD 18:14:SS,255.6029663
YYYY-16-DD 18:16:SS,253.3239899
YYYY-18-DD 18:18:SS,245.5660095
YYYY-20-DD 18:20:SS,244.9151459
YYYY-22-DD 18:22:SS,254.2395477
YYYY-24-DD 18:24:SS,247.0891724
YYYY-26-DD 18:26:SS,245.964447
YYYY-28-DD 18:28:SS,248.9986877
YYYY-30-DD 18:30:SS,252.6740265
YYYY-32-DD 18:32:SS,253.6244049
YYYY-34-DD 18:34:SS,245.4179382
YYYY-36-DD 18:36:SS,259.2478333
YYYY-38-DD 18:38:SS,243.2680054
YYYY-40-DD 18:40:SS,247.544632
YYYY-42-DD 18:42:SS,245.2666321
YYYY-44-DD 18:44:SS,246.7375946
YYYY-46-DD 18:46:SS,248.3983765
YYYY-48-DD 18:48:SS,250.4342041
YYYY-50-DD 18:50:SS,261.1461487
YYYY-52-DD 18:52:SS,241.3403625
YYYY-54-DD 18:54:SS,244.1652832
YYYY-56-DD 18:56:SS,244.5945282
YYYY-58-DD 18:58:SS,247.5329132
YYYY-00-DD 19:00:SS,246.42659
YYYY-02-DD 19:02:SS,250.0623779
YYYY-04-DD 19:04:SS,241.8075562
YYYY-06-DD 19:06:SS,253.2029419
YYYY-08-DD 19:08:SS,241.0713654
YYYY-10-DD 19:10:SS,240.3806915
YYYY-12-DD 19:12:SS,238.5034027
YYYY-14-DD 19:14:SS,242.5539703
YYYY-16-DD 19:16:SS,245.8870239
YYYY-18-DD 19:18:SS,245.0137634
YYYY-20-DD 19:20:SS,246.7809296
YYYY-22-DD 19:22:SS,263.3874817
YYYY-24-DD 19:24:SS,245.7980194
YYYY-26-DD 19:26:SS,243.206665
YYYY-28-DD 19:28:SS,240.8624573
YYYY-30-DD 19:30:SS,251.896637
YYYY-32-DD 19:32:SS,245.996521
YYYY-34-DD 19:34:SS,242.3208618
YYYY-36-DD 19:36:SS,247.6501312
YYYY-38-DD 19:38:SS,256.8769226
YYYY-40-DD 19:40:SS,254.6826477
YYYY-42-DD 19:42:SS,251.7402802
YYYY-44-DD 19:44:SS,253.2427216
YYYY-46-DD 19:46:SS,253.3047485
YYYY-48-DD 19:48:SS,245.5527039
YYYY-50-DD 19:50:SS,255.5945892
YYYY-52-DD 19:52:SS,244.9158936
YYYY-54-DD 19:54:SS,258.2361755
YYYY-56-DD 19:56:SS,245.8497772
YYYY-58-DD 19:58:SS,246.5665894
YYYY-00-DD 20:00:SS,254.440506
YYYY-02-DD 20:02:SS,252.3559418
YYYY-04-DD 20:04:SS,247.8333282
YYYY-06-DD 20:06:SS,248.2996368
YYYY-08-DD 20:08:SS,254.7204895
YYYY-10-DD 20:10:SS,256.786438
YYYY-12-DD 20:12:SS,248.2514496
YYYY-14-DD 20:14:SS,249.9302826
YYYY-16-DD 20:16:SS,248.6096954
YYYY-18-DD 20:18:SS,246.5617981
YYYY-20-DD 20:20:SS,247.7762451
YYYY-22-DD 20:22:SS,247.1976013
YYYY-24-DD 20:24:SS,248.5770264
YYYY-26-DD 20:26:SS,245.4835205
YYYY-28-DD 20:28:SS,251.4554596
YYYY-30-DD 20:30:SS,243.1414185
YYYY-32-DD 20:32:SS,244.8180542
YYYY-34-DD 20:34:SS,242.5502014
YYYY-36-DD 20:36:SS,243.8171997
YYYY-38-DD 20:38:SS,247.3375244
YYYY-40-DD 20:40:SS,241.7950439
YYYY-42-DD 20:42:SS,247.5502625
YYYY-44-DD 20:44:SS,249.8747864
YYYY-46-DD 20:46:SS,245.5179749
YYYY-48-DD 20:48:SS,249.0019836
YYYY-50-DD 20:50:SS,251.5986633
YYYY-52-DD 20:52:SS,248.2714081
YYYY-54-DD 20:54:SS,248.4998627
YYYY-56-DD 20:56:SS,247.5586243
YYYY-58-DD 20:58:SS,250.3382263
YYYY-00-DD 21:00:SS,250.0827637
YYYY-02-DD 21:02:SS,244.1671906
YYYY-04-DD 21:04:SS,245.9125824
YYYY-06-DD 21:06:SS,245.9751434
YYYY-08-DD 21:08:SS,254.1510162
YYYY-10-DD 21:10:SS,246.8376007
YYYY-12-DD 21:12:SS,248.291214
YYYY-14-DD 21:14:SS,245.0761414
YYYY-16-DD 21:16:SS,246.2864838
YYYY-18-DD 21:18:SS,245.6276398
YYYY-20-DD 21:20:SS,253.4931183
YYYY-22-DD 21:22:SS,248.2754974
YYYY-24-DD 21:24:SS,242.118515
YYYY-26-DD 21:26:SS,245.3807983
YYYY-28-DD 21:28:SS,243.7457428
YYYY-30-DD 21:30:SS,239.8508148
YYYY-32-DD 21:32:SS,243.3852844
YYYY-34-DD 21:34:SS,239.2743988
YYYY-36-DD 21:36:SS,239.9633789
YYYY-38-DD 21:38:SS,239.2314911
YYYY-40-DD 21:40:SS,242.1722565
YYYY-42-DD 21:42:SS,266.242157
YYYY-44-DD 21:44:SS,241.862915
YYYY-46-DD 21:46:SS,240.2032013
YYYY-48-DD 21:48:SS,238.1799164
YYYY-50-DD 21:50:SS,237.1511688
YYYY-52-DD 21:52:SS,235.2451172
YYYY-54-DD 21:54:SS,238.8335876
YYYY-56-DD 21:56:SS,237.7345123
YYYY-58-DD 21:58:SS,243.2083893
YYYY-00-DD 22:00:SS,236
YYYY-02-DD 22:02:SS,238.9082489
YYYY-04-DD 22:04:SS,235.7386475
YYYY-06-DD 22:06:SS,243.3426361
YYYY-08-DD 22:08:SS,238.7902527
YYYY-10-DD 22:10:SS,240.4120483
YYYY-12-DD 22:12:SS,243.7722626
YYYY-14-DD 22:14:SS,239.1966095
YYYY-16-DD 22:16:SS,239.6305695
YYYY-18-DD 22:18:SS,239.6545105
YYYY-20-DD 22:20:SS,238.509964
YYYY-22-DD 22:22:SS,238.8754425
YYYY-24-DD 22:24:SS,245.2748108
YYYY-26-DD 22:26:SS,242.3364258
YYYY-28-DD 22:28:SS,247.0832977
YYYY-30-DD 22:30:SS,243.0307312
YYYY-32-DD 22:32:SS,245.334137
YYYY-34-DD 22:34:SS,242.1997375
YYYY-36-DD 22:36:SS,242.3377075
YYYY-38-DD 22:38:SS,238.9568024
YYYY-40-DD 22:40:SS,238.5897827
YYYY-42-DD 22:42:SS,240.5329742
YYYY-44-DD 22:44:SS,247.6433258
YYYY-46-DD 22:46:SS,240.9119568
YYYY-48-DD 22:48:SS,241.0613251
YYYY-50-DD 22:50:SS,252.6918793
YYYY-52-DD 22:52:SS,239.2311707
YYYY-54-DD 22:54:SS,242.5098572
YYYY-56-DD 22:56:SS,243.9984283
YYYY-58-DD 22:58:SS,247.8077393
YYYY-00-DD 23:00:SS,238.2688293
YYYY-02-DD 23:02:SS,252.2014313
YYYY-04-DD 23:04:SS,246.7016907
YYYY-06-DD 23:06:SS,246.743988
YYYY-08-DD 23:08:SS,245.2852631
YYYY-10-DD 23:10:SS,244.7576294
YYYY-12-DD 23:12:SS,247.7158508
YYYY-14-DD 23:14:SS,247.3363953
YYYY-16-DD 23:16:SS,241.3890991
YYYY-18-DD 23:18:SS,248.7106628
YYYY-20-DD 23:20:SS,244.0562439
YYYY-22-DD 23:22:SS,241.4855652
YYYY-24-DD 23:24:SS,240.821991
YYYY-26-DD 23:26:SS,251.9445343
YYYY-28-DD 23:28:SS,244.3048401
YYYY-30-DD 23:30:SS,251.4936218
YYYY-32-DD 23:32:SS,239.6364441
YYYY-34-DD 23:34:SS,238.6599579
YYYY-36-DD 23:36:SS,237.7931213
YYYY-38-DD 23:38:SS,238.3301697
YYYY-40-DD 23:40:SS,240.5771027
YYYY-42-DD 23:42:SS,245.6117249
YYYY-44-DD 23:44:SS,245.6971741
YYYY-46-DD 23:46:SS,240.448822
YYYY-48-DD 23:48:SS,241.2730255
YYYY-50-DD 23:50:SS,240.6555939
YYYY-52-DD 23:52:SS,242.2352448
YYYY-54-DD 23:54:SS,249.2859344
YYYY-56-DD 23:56:SS,245.4607697
YYYY-58-DD 23:58:SS,242.9211731
YYYY-00-DD 00:00:SS,256.200592
YYYY-02-DD 00:02:SS,238.0895233
YYYY-04-DD 00:04:SS,243.167099
YYYY-06-DD 00:06:SS,238.5466614
YYYY-08-DD 00:08:SS,242.7742157
YYYY-10-DD 00:10:SS,240.4027252
YYYY-12-DD 00:12:SS,244.6380157
YYYY-14-DD 00:14:SS,238.682785
YYYY-16-DD 00:16:SS,241.5677795
YYYY-18-DD 00:18:SS,243.0926208
YYYY-20-DD 00:20:SS,251.1687469
YYYY-22-DD 00:22:SS,241.3990479
YYYY-24-DD 00:24:SS,243.66008
YYYY-26-DD 00:26:SS,245.7041626
YYYY-28-DD 00:28:SS,243.133667
YYYY-30-DD 00:30:SS,249.355423
YYYY-32-DD 00:32:SS,249.0396423
YYYY-34-DD 00:34:SS,255.2516022
YYYY-36-DD 00:36:SS,248.1944122
YYYY-38-DD 00:38:SS,254.5949554
YYYY-40-DD 00:40:SS,249.9376526
YYYY-42-DD 00:42:SS,255.9646912
YYYY-44-DD 00:44:SS,254.5604553
YYYY-46-DD 00:46:SS,264.6920776
YYYY-48-DD 00:48:SS,261.3587952
YYYY-50-DD 00:50:SS,263.3487549
YYYY-52-DD 00:52:SS,260.0048218
YYYY-54-DD 00:54:SS,258.1104431
YYYY-56-DD 00:56:SS,260.2226257
YYYY-58-DD 00:58:SS,257.0700378
YYYY-00-DD 01:00:SS,260.6026917
YYYY-02-DD 01:02:SS,263.344696
YYYY-04-DD 01:04:SS,262.0967712
YYYY-06-DD 01:06:SS,262.0044556
YYYY-08-DD 01:08:SS,266.052124
YYYY-10-DD 01:10:SS,264.4840088
YYYY-12-DD 01:12:SS,261.8191833
YYYY-14-DD 01:14:SS,259.5271301
YYYY-16-DD 01:16:SS,270.7233582
YYYY-18-DD 01:18:SS,260.8716125
YYYY-20-DD 01:20:SS,263.5059814
YYYY-22-DD 01:22:SS,261.4518127
YYYY-24-DD 01:24:SS,261.5503845
YYYY-26-DD 01:26:SS,261.3424683
YYYY-28-DD 01:28:SS,262.4611816
YYYY-30-DD 01:30:SS,256.3000793
YYYY-32-DD 01:32:SS,263.5863342
YYYY-34-DD 01:34:SS,268.5885315
YYYY-36-DD 01:36:SS,260.7525024
YYYY-38-DD 01:38:SS,281.0865784
YYYY-40-DD 01:40:SS,260.3889771
YYYY-42-DD 01:42:SS,260.7289124
YYYY-44-DD 01:44:SS,260.4998474
YYYY-46-DD 01:46:SS,260.9120178
YYYY-48-DD 01:48:SS,262.5862732
YYYY-50-DD 01:50:SS,260.0135193
YYYY-52-DD 01:52:SS,263.1804504
YYYY-54-DD 01:54:SS,261.0526733
YYYY-56-DD 01:56:SS,267.5629272
YYYY-58-DD 01:58:SS,263.9370117
YYYY-00-DD 02:00:SS,256.6520996
YYYY-02-DD 02:02:SS,257.124176
YYYY-04-DD 02:04:SS,255.1182861
YYYY-06-DD 02:06:SS,264.4731445
YYYY-08-DD 02:08:SS,251.1983643
YYYY-10-DD 02:10:SS,240.7037659
YYYY-12-DD 02:12:SS,244.7966614
YYYY-14-DD 02:14:SS,242.9081879
YYYY-16-DD 02:16:SS,250.0753784
YYYY-18-DD 02:18:SS,247.491333
YYYY-20-DD 02:20:SS,244.9832001
YYYY-22-DD 02:22:SS,251.036026
YYYY-24-DD 02:24:SS,242.9408722
YYYY-26-DD 02:26:SS,247.0470734
YYYY-28-DD 02:28:SS,251.5148468
YYYY-30-DD 02:30:SS,246.3841095
YYYY-32-DD 02:32:SS,250.4565735
YYYY-34-DD 02:34:SS,250.5899658
YYYY-36-DD 02:36:SS,243.1542358
YYYY-38-DD 02:38:SS,246.5143433
YYYY-40-DD 02:40:SS,257.4927063
YYYY-42-DD 02:42:SS,249.1873016
YYYY-44-DD 02:44:SS,252.603714
YYYY-46-DD 02:46:SS,250.5242004
YYYY-48-DD 02:48:SS,250.9826355
YYYY-50-DD 02:50:SS,251.3851471
YYYY-52-DD 02:52:SS,254.2941742
YYYY-54-DD 02:54:SS,255.5397339
YYYY-56-DD 02:56:SS,247.3813477
YYYY-58-DD 02:58:SS,247.3072968
YYYY-00-DD 03:00:SS,248.7224426
YYYY-02-DD 03:02:SS,245.6139069
YYYY-04-DD 03:04:SS,250.1349792
YYYY-06-DD 03:06:SS,248.2943573
YYYY-08-DD 03:08:SS,252.5226746
YYYY-10-DD 03:10:SS,280.9137878
YYYY-12-DD 03:12:SS,249.9750061
YYYY-14-DD 03:14:SS,250.9252167
YYYY-16-DD 03:16:SS,251.196991
YYYY-18-DD 03:18:SS,248.0662689
YYYY-20-DD 03:20:SS,251.5259552
YYYY-22-DD 03:22:SS,249.1995392
YYYY-24-DD 03:24:SS,247.7707977
YYYY-26-DD 03:26:SS,247.1340942
YYYY-28-DD 03:28:SS,256.4927673
YYYY-30-DD 03:30:SS,249.9077148
YYYY-32-DD 03:32:SS,257.7185974
YYYY-34-DD 03:34:SS,248.6220703
YYYY-36-DD 03:36:SS,249.0168457
YYYY-38-DD 03:38:SS,247.9038544
YYYY-40-DD 03:40:SS,245.8437958
YYYY-42-DD 03:42:SS,248.035141
YYYY-44-DD 03:44:SS,247.1923981
YYYY-46-DD 03:46:SS,247.1207275
YYYY-48-DD 03:48:SS,260.3993225
YYYY-50-DD 03:50:SS,257.8574524
YYYY-52-DD 03:52:SS,252.895813
YYYY-54-DD 03:54:SS,252.3640442
YYYY-56-DD 03:56:SS,254.5200958
YYYY-58-DD 03:58:SS,254.6280975
YYYY-00-DD 04:00:SS,255.3886414
YYYY-02-DD 04:02:SS,261.3769836
YYYY-04-DD 04:04:SS,249.9155579
YYYY-06-DD 04:06:SS,247.5532074
YYYY-08-DD 04:08:SS,246.0463867
YYYY-10-DD 04:10:SS,247.8436584
YYYY-12-DD 04:12:SS,247.0841522
YYYY-14-DD 04:14:SS,251.2822113
YYYY-16-DD 04:16:SS,248.5228119
YYYY-18-DD 04:18:SS,247.2574005
YYYY-20-DD 04:20:SS,245.5175171
YYYY-22-DD 04:22:SS,246.0413361
YYYY-24-DD 04:24:SS,246.8595123
YYYY-26-DD 04:26:SS,247.4260864
YYYY-28-DD 04:28:SS,245.1927338
YYYY-30-DD 04:30:SS,256.3213501
YYYY-32-DD 04:32:SS,247.9689026
YYYY-34-DD 04:34:SS,253.4864655
YYYY-36-DD 04:36:SS,249.9701538
YYYY-38-DD 04:38:SS,249.4509735
YYYY-40-DD 04:40:SS,256.4233398
YYYY-42-DD 04:42:SS,248.4849701
YYYY-44-DD 04:44:SS,249.9402771
YYYY-46-DD 04:46:SS,252.3298645
YYYY-48-DD 04:48:SS,246.3251648
YYYY-50-DD 04:50:SS,250.4364624
YYYY-52-DD 04:52:SS,255.914093
YYYY-54-DD 04:54:SS,248.8226624
YYYY-56-DD 04:56:SS,250.8999481
YYYY-58-DD 04:58:SS,249.5004272
YYYY-00-DD 05:00:SS,253.6457825
YYYY-02-DD 05:02:SS,254.6715088
YYYY-04-DD 05:04:SS,250.9813843
YYYY-06-DD 05:06:SS,252.0332031
YYYY-08-DD 05:08:SS,258.577179
YYYY-10-DD 05:10:SS,252.2837219
YYYY-12-DD 05:12:SS,253.0388947
YYYY-14-DD 05:14:SS,255.695816
YYYY-16-DD 05:16:SS,251.6004486
YYYY-18-DD 05:18:SS,248.085968
YYYY-20-DD 05:20:SS,277.5990601
YYYY-22-DD 05:22:SS,251.5024414
YYYY-24-DD 05:24:SS,253.3660736
YYYY-26-DD 05:26:SS,247.0155182
YYYY-28-DD 05:28:SS,245.8444824
YYYY-30-DD 05:30:SS,246.0979919
YYYY-32-DD 05:32:SS,240.691803
YYYY-34-DD 05:34:SS,238.8311005
YYYY-36-DD 05:36:SS,251.5348206
YYYY-38-DD 05:38:SS,250.1947479
YYYY-40-DD 05:40:SS,243.0505219
YYYY-42-DD 05:42:SS,240.8024292
YYYY-44-DD 05:44:SS,240.8059998
YYYY-46-DD 05:46:SS,242.7858887
YYYY-48-DD 05:48:SS,239.442688
YYYY-50-DD 05:50:SS,245.2536621
YYYY-52-DD 05:52:SS,250.0856171
YYYY-54-DD 05:54:SS,245.0694885
YYYY-56-DD 05:56:SS,245.2168121
YYYY-58-DD 05:58:SS,243.9844513
YYYY-00-DD 06:00:SS,250.1324615
YYYY-02-DD 06:02:SS,244.548645
YYYY-04-DD 06:04:SS,248.6572418
YYYY-06-DD 06:06:SS,239.3330841
YYYY-08-DD 06:08:SS,243.3320618
YYYY-10-DD 06:10:SS,241.3244019
YYYY-12-DD 06:12:SS,243.5081329
YYYY-14-DD 06:14:SS,244.1293335
YYYY-16-DD 06:16:SS,245.5071564
YYYY-18-DD 06:18:SS,247.904953
YYYY-20-DD 06:20:SS,248.7485352
YYYY-22-DD 06:22:SS,247.2464905
YYYY-24-DD 06:24:SS,254.1508789
YYYY-26-DD 06:26:SS,246.8904572
YYYY-28-DD 06:28:SS,239.573288
YYYY-30-DD 06:30:SS,272.9393311
YYYY-32-DD 06:32:SS,241.293335
YYYY-34-DD 06:34:SS,240.1558228
YYYY-36-DD 06:36:SS,242.0241852
YYYY-38-DD 06:38:SS,239.7684021
YYYY-40-DD 06:40:SS,252.8599091
YYYY-42-DD 06:42:SS,252.7653198
YYYY-44-DD 06:44:SS,249.3801117
YYYY-46-DD 06:46:SS,253.6033173
YYYY-48-DD 06:48:SS,252.8694458
YYYY-50-DD 06:50:SS,255.8536835
YYYY-52-DD 06:52:SS,257.8974609
YYYY-54-DD 06:54:SS,259.6853638
YYYY-56-DD 06:56:SS,261.2756653
YYYY-58-DD 06:58:SS,257.1436462
YYYY-00-DD 07:00:SS,256.6376343
YYYY-02-DD 07:02:SS,254.0302887
YYYY-04-DD 07:04:SS,253.0100098
YYYY-06-DD 07:06:SS,259.6140442
YYYY-08-DD 07:08:SS,252.1951599
YYYY-10-DD 07:10:SS,251.967865
YYYY-12-DD 07:12:SS,251.8475647
YYYY-14-DD 07:14:SS,251.4393921
YYYY-16-DD 07:16:SS,248.5758514
YYYY-18-DD 07:18:SS,247.7191467
YYYY-20-DD 07:20:SS,246.5559387
YYYY-22-DD 07:22:SS,247.062561
YYYY-24-DD 07:24:SS,251.8609467
YYYY-26-DD 07:26:SS,246.6468658
YYYY-28-DD 07:28:SS,247.336319
YYYY-30-DD 07:30:SS,248.011261
YYYY-32-DD 07:32:SS,251.2993011
YYYY-34-DD 07:34:SS,250.4574585
YYYY-36-DD 07:36:SS,249.7327271
YYYY-38-DD 07:38:SS,249.3331604
YYYY-40-DD 07:40:SS,250.9991913
YYYY-42-DD 07:42:SS,246.9395142
YYYY-44-DD 07:44:SS,248.9934387
YYYY-46-DD 07:46:SS,250.1234894
YYYY-48-DD 07:48:SS,248.6819916
YYYY-50-DD 07:50:SS,245.6613312
YYYY-52-DD 07:52:SS,251.4703979
YYYY-54-DD 07:54:SS,249.190033
YYYY-56-DD 07:56:SS,246.8753815
YYYY-58-DD 07:58:SS,253.9357452
YYYY-00-DD 08:00:SS,246.9846649
YYYY-02-DD 08:02:SS,243.1587982
YYYY-04-DD 08:04:SS,239.4812622
YYYY-06-DD 08:06:SS,250.4900665
YYYY-08-DD 08:08:SS,241.8942413
YYYY-10-DD 08:10:SS,241.7945099
YYYY-12-DD 08:12:SS,240.3043518
YYYY-14-DD 08:14:SS,242.0222473
YYYY-16-DD 08:16:SS,247.1266327
YYYY-18-DD 08:18:SS,237.3160706
YYYY-20-DD 08:20:SS,237.4880066
YYYY-22-DD 08:22:SS,240.3325195
YYYY-24-DD 08:24:SS,241.1107025
YYYY-26-DD 08:26:SS,241.0701141
YYYY-28-DD 08:28:SS,237.532959
YYYY-30-DD 08:30:SS,244.7257385
YYYY-32-DD 08:32:SS,238.6525726
YYYY-34-DD 08:34:SS,238.7737122
YYYY-36-DD 08:36:SS,234.5865631
YYYY-38-DD 08:38:SS,237.0400085
YYYY-40-DD 08:40:SS,241.0367584
YYYY-42-DD 08:42:SS,240.2902222
YYYY-44-DD 08:44:SS,240.2507935
YYYY-46-DD 08:46:SS,276.7970886
YYYY-48-DD 08:48:SS,237.0743561
YYYY-50-DD 08:50:SS,237.0273132
YYYY-52-DD 08:52:SS,237.193512
YYYY-54-DD 08:54:SS,276.6403809
YYYY-56-DD 08:56:SS,234.6751251
YYYY-58-DD 08:58:SS,238.0137329
YYYY-00-DD 09:00:SS,237.8269501
YYYY-02-DD 09:02:SS,235.1966705
YYYY-04-DD 09:04:SS,230.3901825
YYYY-06-DD 09:06:SS,228.0109253
YYYY-08-DD 09:08:SS,228.1136475
YYYY-10-DD 09:10:SS,229.115097
YYYY-12-DD 09:12:SS,227.6622009
YYYY-14-DD 09:14:SS,228.911087
YYYY-16-DD 09:16:SS,225.9334106
YYYY-18-DD 09:18:SS,231.5790405
YYYY-20-DD 09:20:SS,229.6207123
YYYY-22-DD 09:22:SS,222.4352417
YYYY-24-DD 09:24:SS,223.8863678
YYYY-26-DD 09:26:SS,215.1304321
YYYY-28-DD 09:28:SS,182.1638031
YYYY-30-DD 09:30:SS,179.0549316
YYYY-32-DD 09:32:SS,175.3646393
YYYY-34-DD 09:34:SS,175.8087006
YYYY-36-DD 09:36:SS,174.0423584
YYYY-38-DD 09:38:SS,171.2696381
YYYY-40-DD 09:40:SS,172.2322388
YYYY-42-DD 09:42:SS,171.2511292
YYYY-44-DD 09:44:SS,172.0640564
YYYY-46-DD 09:46:SS,172.3388367
YYYY-48-DD 09:48:SS,173.4564819
YYYY-50-DD 09:50:SS,171.9572906
YYYY-52-DD 09:52:SS,172.6372833
YYYY-54-DD 09:54:SS,167.7879028
YYYY-56-DD 09:56:SS,170.5957642
YYYY-58-DD 09:58:SS,170.3007813
YYYY-00-DD 10:00:SS,172.0215759
YYYY-02-DD 10:02:SS,175.0930328
YYYY-04-DD 10:04:SS,175.5634003
YYYY-06-DD 10:06:SS,175.2131958
YYYY-08-DD 10:08:SS,174.6124268
YYYY-10-DD 10:10:SS,173.1162109
YYYY-12-DD 10:12:SS,172.8278656
YYYY-14-DD 10:14:SS,176.0964203
YYYY-16-DD 10:16:SS,175.6385956
YYYY-18-DD 10:18:SS,176.9763489
YYYY-20-DD 10:20:SS,176.7565308
YYYY-22-DD 10:22:SS,175.8895569
YYYY-24-DD 10:24:SS,174.3296509
YYYY-26-DD 10:26:SS,173.0887909
YYYY-28-DD 10:28:SS,173.1781616
YYYY-30-DD 10:30:SS,174.3504181
YYYY-32-DD 10:32:SS,174.8938446
YYYY-34-DD 10:34:SS,174.4179077
YYYY-36-DD 10:36:SS,174.4498749
YYYY-38-DD 10:38:SS,173.6448669
YYYY-40-DD 10:40:SS,173.2616119
YYYY-42-DD 10:42:SS,170.9756165
YYYY-44-DD 10:44:SS,170.3322296
YYYY-46-DD 10:46:SS,169.2628784
YYYY-48-DD 10:48:SS,168.0484467
YYYY-50-DD 10:50:SS,167.3171082
YYYY-52-DD 10:52:SS,167.1612854
YYYY-54-DD 10:54:SS,171.9317322
YYYY-56-DD 10:56:SS,162.796463
YYYY-58-DD 10:58:SS,219.5549927
YYYY-00-DD 11:00:SS,219.9385376
YYYY-02-DD 11:02:SS,219.0739746
YYYY-04-DD 11:04:SS,219.3704071
YYYY-06-DD 11:06:SS,218.3852386
YYYY-08-DD 11:08:SS,218.2459259
YYYY-10-DD 11:10:SS,217.6952057
YYYY-12-DD 11:12:SS,218.8360291
YYYY-14-DD 11:14:SS,218.1798706
YYYY-16-DD 11:16:SS,219.6239777
YYYY-18-DD 11:18:SS,221.913208
YYYY-20-DD 11:20:SS,222.5098877
YYYY-22-DD 11:22:SS,221.7081604
YYYY-24-DD 11:24:SS,221.4250946
YYYY-26-DD 11:26:SS,221.0066528
YYYY-28-DD 11:28:SS,222.8036652
YYYY-30-DD 11:30:SS,221.0773926
YYYY-32-DD 11:32:SS,222.1313324
YYYY-34-DD 11:34:SS,226.655426
YYYY-36-DD 11:36:SS,232.6607666
YYYY-38-DD 11:38:SS,234.6003113
YYYY-40-DD 11:40:SS,232.7102203
YYYY-42-DD 11:42:SS,235.5449829
YYYY-44-DD 11:44:SS,234.6030121
YYYY-46-DD 11:46:SS,237.9656067
YYYY-48-DD 11:48:SS,233.3629303
YYYY-50-DD 11:50:SS,219.4203491
YYYY-52-DD 11:52:SS,217.3131561
YYYY-54-DD 11:54:SS,217.7150574
YYYY-56-DD 11:56:SS,219.5576477
YYYY-58-DD 11:58:SS,216.7285919
YYYY-00-DD 12:00:SS,215.4156342
YYYY-02-DD 12:02:SS,208.7227173
YYYY-04-DD 12:04:SS,210.405426
YYYY-06-DD 12:06:SS,208.5788879
YYYY-08-DD 12:08:SS,209.4176178
YYYY-10-DD 12:10:SS,212.4332733
YYYY-12-DD 12:12:SS,210.1403198
YYYY-14-DD 12:14:SS,203.9437866
YYYY-16-DD 12:16:SS,205.3496704
YYYY-18-DD 12:18:SS,204.9110718
YYYY-20-DD 12:20:SS,204.1695251
YYYY-22-DD 12:22:SS,203.3050079
YYYY-24-DD 12:24:SS,205.2244415
YYYY-26-DD 12:26:SS,198.9545898
YYYY-28-DD 12:28:SS,202.6270142
YYYY-30-DD 12:30:SS,206.6021271
YYYY-32-DD 12:32:SS,215.3624725
YYYY-34-DD 12:34:SS,208.2284241
YYYY-36-DD 12:36:SS,205.3307037
YYYY-38-DD 12:38:SS,209.3092041
YYYY-40-DD 12:40:SS,211.4198151
YYYY-42-DD 12:42:SS,211.3063049
YYYY-44-DD 12:44:SS,212.7784729
YYYY-46-DD 12:46:SS,215.0352325
YYYY-48-DD 12:48:SS,211.9851532
YYYY-50-DD 12:50:SS,217.7077637
YYYY-52-DD 12:52:SS,215.8996277
YYYY-54-DD 12:54:SS,214.3991241
YYYY-56-DD 12:56:SS,219.9261169
YYYY-58-DD 12:58:SS,234.3951721
YYYY-00-DD 13:00:SS,255.0505524
YYYY-02-DD 13:02:SS,258.7738647
YYYY-04-DD 13:04:SS,273.210968
YYYY-06-DD 13:06:SS,290.3553772
YYYY-08-DD 13:08:SS,291.4375
YYYY-10-DD 13:10:SS,291.6721802
YYYY-12-DD 13:12:SS,298.273468
YYYY-14-DD 13:14:SS,289.7940063
YYYY-16-DD 13:16:SS,292.7035217
YYYY-18-DD 13:18:SS,291.8000183
YYYY-20-DD 13:20:SS,289.8490295
YYYY-22-DD 13:22:SS,290.3383484
YYYY-24-DD 13:24:SS,294.7831726
YYYY-26-DD 13:26:SS,294.7269592
YYYY-28-DD 13:28:SS,292.5475769
YYYY-30-DD 13:30:SS,297.9003906
YYYY-32-DD 13:32:SS,296.2685242
YYYY-34-DD 13:34:SS,295.7982483
YYYY-36-DD 13:36:SS,293.6485901
YYYY-38-DD 13:38:SS,297.3295288
