X1,Annual Cost,Building,CAAN,Construction Date,Latitude,Longitude,Maintained Gross Sq. Ft.,Primary Usage (Type),Rollover,kWh Rate
0,51155,ARC Pavilion,4444.0,03/01/1977,38.54181213318,-121.75962444,171940,REC - Athletics & Recreation,10000000,0.0687
2,151156,Activities and Recreation Center,4799.0,04/15/2002,38.5428969596,-121.759644393,158120,REC - Athletics & Recreation,10000000,0.0687
